Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Armenia,2023-03-02,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-03,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-04,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-05,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-06,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-07,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-08,446819,0,8721.0,0.0,435162.0,0,2936.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-09,447308,489,8727.0,6.0,435162.0,0,3419.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Armenia,2023-03-10,447308,0,8727.0,0.0,435162.0,0,3419.0,0,3242901.0,2971966,Asia,7,40.7696272,44.6736646
Australia,2023-03-02,11382795,2739,19447.0,13.0,11330039.0,2538,33309.0,36,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-03,11385534,2739,19459.0,12.0,11332576.0,2537,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-04,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-05,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-06,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-07,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-08,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-09,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Australia,2023-03-10,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,-24.7761086,134.755
Austria,2023-03-02,5926309,6387,21906.0,8.0,5845834.0,3489,58569.0,81,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-03,5931247,4938,21907.0,1.0,5848610.0,2776,60730.0,81,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-04,5936806,5207,21921.0,2.0,5856157.0,6109,58728.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-05,5940935,4129,21922.0,1.0,5859818.0,3661,59195.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-06,5940936,4181,21934.0,5.0,5862916.0,5799,56086.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-07,5943460,2524,21939.0,5.0,5868274.0,5358,53247.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-08,5949752,6301,21961.0,6.0,5874364.0,5319,53427.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-09,5956095,6343,21969.0,8.0,5880357.0,5993,53769.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Austria,2023-03-10,5966051,4702,21977.0,0.0,5887729.0,2829,56345.0,72,211273524.0,9066710,Europe,2,47.59397,14.12456
Azerbaijan,2023-03-02,828628,40,10122.0,3.0,818327.0,17,179.0,0,7529191.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-03,828648,20,10126.0,4.0,818351.0,24,171.0,0,7530018.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-04,828682,34,10127.0,1.0,818366.0,15,189.0,0,7531433.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-05,828721,39,10129.0,2.0,818383.0,17,209.0,0,7532345.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-06,828721,39,10129.0,2.0,818383.0,17,209.0,0,7532345.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-07,828730,9,10129.0,0.0,818386.0,3,215.0,0,7532959.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-08,828783,53,10135.0,6.0,818418.0,32,230.0,0,7534623.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-09,828819,36,10138.0,3.0,818456.0,38,225.0,0,7536288.0,10300205,Asia,12,40.3936294,47.7872508
Azerbaijan,2023-03-10,828870,45,10142.0,4.0,818516.0,19,212.0,0,7538679.0,10300205,Asia,12,40.3936294,47.7872508
Bahrain,2023-03-02,708061,233,1550.0,1.0,706013.0,0,498.0,5,10741126.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-03,708532,471,1552.0,2.0,706013.0,0,967.0,6,10742269.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-04,708768,236,1552.0,0.0,706013.0,0,1203.0,4,10743440.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-05,709230,462,1552.0,0.0,706013.0,0,1665.0,5,10744948.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-06,709230,462,1552.0,0.0,706013.0,0,1665.0,5,10744948.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-07,709230,0,1552.0,0.0,706013.0,0,1665.0,5,10744948.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-08,709858,628,1553.0,1.0,706013.0,0,2292.0,3,10746441.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-09,710306,448,1553.0,0.0,706013.0,0,2740.0,2,10749553.0,1783983,Asia,3,26.1551249,50.5344606
Bahrain,2023-03-10,711016,323,1553.0,0.0,706755.0,423,2708.0,2,10752280.0,1783983,Asia,3,26.1551249,50.5344606
Bangladesh,2023-03-02,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
